ChEMBL_Drug_ID,ChEMBL_Target_ID,Interaction_Type,PubChem_CID,Receptor_Name
CHEMBL852907,CHEMBL852105,Binding/Inhibitor,CID_60,Beta-2 adrenergic receptor
CHEMBL830190,CHEMBL830191,Binding/Inhibitor,CID_61,D(1B) dopamine receptor
CHEMBL832610,CHEMBL832611,Binding/Inhibitor,CID_62,Endothelin-1 receptor
CHEMBL833160,CHEMBL833161,Binding/Inhibitor,CID_63,EGFR Kinase
CHEMBL837067,CHEMBL837068,Binding/Inhibitor,CID_64,Histamine H2 receptor
CHEMBL880567,CHEMBL880568,Binding/Inhibitor,CID_65,Beta-2 adrenergic receptor
CHEMBL853043,CHEMBL853044,Binding/Inhibitor,CID_66,D(1B) dopamine receptor
CHEMBL861510,CHEMBL861511,Binding/Inhibitor,CID_67,Endothelin-1 receptor
CHEMBL867334,CHEMBL866149,Binding/Inhibitor,CID_68,EGFR Kinase
CHEMBL907064,CHEMBL907676,Binding/Inhibitor,CID_69,Histamine H2 receptor
CHEMBL854624,CHEMBL854625,Binding/Inhibitor,CID_70,Beta-2 adrenergic receptor
CHEMBL917283,CHEMBL917284,Binding/Inhibitor,CID_71,D(1B) dopamine receptor
CHEMBL904650,CHEMBL904651,Binding/Inhibitor,CID_72,Endothelin-1 receptor
CHEMBL890150,CHEMBL890151,Binding/Inhibitor,CID_73,EGFR Kinase
CHEMBL894586,CHEMBL894587,Binding/Inhibitor,CID_74,Histamine H2 receptor
CHEMBL899224,CHEMBL899225,Binding/Inhibitor,CID_75,Beta-2 adrenergic receptor
CHEMBL885498,CHEMBL885499,Binding/Inhibitor,CID_76,D(1B) dopamine receptor
CHEMBL924455,CHEMBL924456,Binding/Inhibitor,CID_77,Endothelin-1 receptor
CHEMBL928915,CHEMBL928916,Binding/Inhibitor,CID_78,EGFR Kinase
CHEMBL924882,CHEMBL924883,Binding/Inhibitor,CID_79,Histamine H2 receptor
CHEMBL952857,CHEMBL952072,Binding/Inhibitor,CID_80,Beta-2 adrenergic receptor
CHEMBL937470,CHEMBL937471,Binding/Inhibitor,CID_81,D(1B) dopamine receptor
CHEMBL1015525,CHEMBL1015526,Binding/Inhibitor,CID_82,Endothelin-1 receptor
CHEMBL1012353,CHEMBL1015776,Binding/Inhibitor,CID_84,EGFR Kinase
CHEMBL989977,CHEMBL989978,Binding/Inhibitor,CID_85,Histamine H2 receptor
CHEMBL943257,CHEMBL943258,Binding/Inhibitor,CID_86,Beta-2 adrenergic receptor
CHEMBL1002102,CHEMBL1002103,Binding/Inhibitor,CID_87,D(1B) dopamine receptor
CHEMBL985056,CHEMBL985057,Binding/Inhibitor,CID_88,Endothelin-1 receptor
CHEMBL948586,CHEMBL948587,Binding/Inhibitor,CID_89,EGFR Kinase
CHEMBL1005550,CHEMBL1005551,Binding/Inhibitor,CID_90,Histamine H2 receptor
CHEMBL979147,CHEMBL979148,Binding/Inhibitor,CID_91,Beta-2 adrenergic receptor
CHEMBL955448,CHEMBL955449,Binding/Inhibitor,CID_92,D(1B) dopamine receptor
CHEMBL1007413,CHEMBL1007414,Binding/Inhibitor,CID_93,Endothelin-1 receptor
CHEMBL974761,CHEMBL974762,Binding/Inhibitor,CID_94,EGFR Kinase
CHEMBL979614,CHEMBL979615,Binding/Inhibitor,CID_95,Histamine H2 receptor
CHEMBL982784,CHEMBL982785,Binding/Inhibitor,CID_96,Beta-2 adrenergic receptor
CHEMBL1036577,CHEMBL1036578,Binding/Inhibitor,CID_97,D(1B) dopamine receptor
CHEMBL1017803,CHEMBL1017804,Binding/Inhibitor,CID_98,Endothelin-1 receptor
CHEMBL1029970,CHEMBL1029971,Binding/Inhibitor,CID_99,EGFR Kinase
CHEMBL1001741,CHEMBL1001742,Binding/Inhibitor,CID_100,Histamine H2 receptor
CHEMBL954246,CHEMBL954247,Binding/Inhibitor,CID_101,Beta-2 adrenergic receptor
CHEMBL1009192,CHEMBL1009193,Binding/Inhibitor,CID_102,D(1B) dopamine receptor
CHEMBL965834,CHEMBL965835,Binding/Inhibitor,CID_103,Endothelin-1 receptor
CHEMBL1035327,CHEMBL1035328,Binding/Inhibitor,CID_104,EGFR Kinase
CHEMBL1032948,CHEMBL1032949,Binding/Inhibitor,CID_105,Histamine H2 receptor
CHEMBL1056312,CHEMBL1056313,Binding/Inhibitor,CID_106,Beta-2 adrenergic receptor
CHEMBL1058178,CHEMBL1058179,Binding/Inhibitor,CID_107,D(1B) dopamine receptor
CHEMBL1052130,CHEMBL1052131,Binding/Inhibitor,CID_108,Endothelin-1 receptor
CHEMBL1037606,CHEMBL1037607,Binding/Inhibitor,CID_109,EGFR Kinase
CHEMBL1041684,CHEMBL1041685,Binding/Inhibitor,CID_110,Histamine H2 receptor
CHEMBL1049808,CHEMBL1049809,Binding/Inhibitor,CID_111,Beta-2 adrenergic receptor
CHEMBL1049489,CHEMBL1049490,Binding/Inhibitor,CID_112,D(1B) dopamine receptor
CHEMBL1070798,CHEMBL1070799,Binding/Inhibitor,CID_113,Endothelin-1 receptor
CHEMBL1074299,CHEMBL1074300,Binding/Inhibitor,CID_114,EGFR Kinase
CHEMBL1101944,CHEMBL1101945,Binding/Inhibitor,CID_115,Histamine H2 receptor
CHEMBL1109348,CHEMBL1109349,Binding/Inhibitor,CID_116,Beta-2 adrenergic receptor
CHEMBL1107925,CHEMBL1107926,Binding/Inhibitor,CID_117,D(1B) dopamine receptor
CHEMBL1104660,CHEMBL1104661,Binding/Inhibitor,CID_118,Endothelin-1 receptor
CHEMBL1112834,CHEMBL1112835,Binding/Inhibitor,CID_119,EGFR Kinase
CHEMBL1167004,CHEMBL1167005,Binding/Inhibitor,CID_120,Histamine H2 receptor
CHEMBL1176911,CHEMBL1176912,Binding/Inhibitor,CID_121,Beta-2 adrenergic receptor
CHEMBL1218478,CHEMBL1218479,Binding/Inhibitor,CID_122,D(1B) dopamine receptor
CHEMBL1219459,CHEMBL1219460,Binding/Inhibitor,CID_123,Endothelin-1 receptor
CHEMBL1226805,CHEMBL1226806,Binding/Inhibitor,CID_124,EGFR Kinase
CHEMBL1247222,CHEMBL1247223,Binding/Inhibitor,CID_125,Histamine H2 receptor
CHEMBL1253084,CHEMBL1253085,Binding/Inhibitor,CID_126,Beta-2 adrenergic receptor
CHEMBL1261456,CHEMBL1261457,Binding/Inhibitor,CID_127,D(1B) dopamine receptor
CHEMBL1266193,CHEMBL1266194,Binding/Inhibitor,CID_128,Endothelin-1 receptor
CHEMBL1266980,CHEMBL1266981,Binding/Inhibitor,CID_129,EGFR Kinase
CHEMBL1279073,CHEMBL1279074,Binding/Inhibitor,CID_130,Histamine H2 receptor
CHEMBL1281863,CHEMBL1281864,Binding/Inhibitor,CID_131,Beta-2 adrenergic receptor
CHEMBL1285182,CHEMBL1285183,Binding/Inhibitor,CID_132,D(1B) dopamine receptor
CHEMBL1291853,CHEMBL1291854,Binding/Inhibitor,CID_133,Endothelin-1 receptor
CHEMBL1633513,CHEMBL1633514,Binding/Inhibitor,CID_134,EGFR Kinase
CHEMBL1639511,CHEMBL1639512,Binding/Inhibitor,CID_135,Histamine H2 receptor
CHEMBL1647588,CHEMBL1647589,Binding/Inhibitor,CID_137,Beta-2 adrenergic receptor
CHEMBL1655283,CHEMBL1655284,Binding/Inhibitor,CID_138,D(1B) dopamine receptor
CHEMBL1665715,CHEMBL1665716,Binding/Inhibitor,CID_139,Endothelin-1 receptor
CHEMBL1653943,CHEMBL1653944,Binding/Inhibitor,CID_140,EGFR Kinase
CHEMBL1660221,CHEMBL1660222,Binding/Inhibitor,CID_141,Histamine H2 receptor
CHEMBL1670590,CHEMBL1670591,Binding/Inhibitor,CID_142,Beta-2 adrenergic receptor
CHEMBL1673734,CHEMBL1673735,Binding/Inhibitor,CID_144,D(1B) dopamine receptor
CHEMBL1677468,CHEMBL1677469,Binding/Inhibitor,CID_145,Endothelin-1 receptor
CHEMBL1694719,CHEMBL1694720,Binding/Inhibitor,CID_149,EGFR Kinase
CHEMBL1689906,CHEMBL1689907,Binding/Inhibitor,CID_150,Histamine H2 receptor
CHEMBL1693485,CHEMBL1693486,Binding/Inhibitor,CID_151,Beta-2 adrenergic receptor
CHEMBL1763920,CHEMBL1763921,Binding/Inhibitor,CID_152,D(1B) dopamine receptor
CHEMBL1772903,CHEMBL1772904,Binding/Inhibitor,CID_153,Endothelin-1 receptor
CHEMBL1780821,CHEMBL1780822,Binding/Inhibitor,CID_154,EGFR Kinase
CHEMBL1798323,CHEMBL1798324,Binding/Inhibitor,CID_155,Histamine H2 receptor
CHEMBL1805189,CHEMBL1805190,Binding/Inhibitor,CID_156,Beta-2 adrenergic receptor
CHEMBL1815631,CHEMBL1815632,Binding/Inhibitor,CID_157,D(1B) dopamine receptor
CHEMBL1821057,CHEMBL1821058,Binding/Inhibitor,CID_158,Endothelin-1 receptor
CHEMBL1832731,CHEMBL1832732,Binding/Inhibitor,CID_159,EGFR Kinase
CHEMBL1839438,CHEMBL1839439,Binding/Inhibitor,CID_160,Histamine H2 receptor
CHEMBL1913950,CHEMBL1913951,Binding/Inhibitor,CID_161,Beta-2 adrenergic receptor
CHEMBL1924660,CHEMBL1924661,Binding/Inhibitor,CID_162,D(1B) dopamine receptor
CHEMBL1930397,CHEMBL1930398,Binding/Inhibitor,CID_163,Endothelin-1 receptor
CHEMBL1938054,CHEMBL1938055,Binding/Inhibitor,CID_164,EGFR Kinase
CHEMBL1947662,CHEMBL1947663,Binding/Inhibitor,CID_165,Histamine H2 receptor
CHEMBL1953040,CHEMBL1953041,Binding/Inhibitor,CID_166,Beta-2 adrenergic receptor
CHEMBL1961994,CHEMBL1961995,Binding/Inhibitor,CID_167,D(1B) dopamine receptor
CHEMBL2020049,CHEMBL2020050,Binding/Inhibitor,CID_168,Endothelin-1 receptor
CHEMBL2025894,CHEMBL2025895,Binding/Inhibitor,CID_169,EGFR Kinase
CHEMBL2038355,CHEMBL2038356,Binding/Inhibitor,CID_172,Histamine H2 receptor
CHEMBL2044717,CHEMBL2044718,Binding/Inhibitor,CID_173,Beta-2 adrenergic receptor
CHEMBL2060260,CHEMBL2060261,Binding/Inhibitor,CID_174,D(1B) dopamine receptor
CHEMBL2067268,CHEMBL2067312,Binding/Inhibitor,CID_175,Endothelin-1 receptor
CHEMBL2077190,CHEMBL2077191,Binding/Inhibitor,CID_176,EGFR Kinase
CHEMBL2090003,CHEMBL2090004,Binding/Inhibitor,CID_177,Histamine H2 receptor
CHEMBL2148731,CHEMBL2148732,Binding/Inhibitor,CID_178,Beta-2 adrenergic receptor
CHEMBL2155058,CHEMBL2155059,Binding/Inhibitor,CID_179,D(1B) dopamine receptor
CHEMBL2162953,CHEMBL2162954,Binding/Inhibitor,CID_180,Endothelin-1 receptor
CHEMBL2166440,CHEMBL2166441,Binding/Inhibitor,CID_181,EGFR Kinase
CHEMBL2175580,CHEMBL2175581,Binding/Inhibitor,CID_182,Histamine H2 receptor
CHEMBL2184858,CHEMBL2184859,Binding/Inhibitor,CID_183,Beta-2 adrenergic receptor
CHEMBL2209155,CHEMBL2209156,Binding/Inhibitor,CID_184,D(1B) dopamine receptor
CHEMBL2210313,CHEMBL2210314,Binding/Inhibitor,CID_185,Endothelin-1 receptor
CHEMBL2217195,CHEMBL2217196,Binding/Inhibitor,CID_186,EGFR Kinase
CHEMBL3050851,CHEMBL3050852,Binding/Inhibitor,CID_187,Histamine H2 receptor
CHEMBL3061201,CHEMBL3061202,Binding/Inhibitor,CID_188,Beta-2 adrenergic receptor
CHEMBL3065014,CHEMBL3065015,Binding/Inhibitor,CID_189,D(1B) dopamine receptor
CHEMBL3067977,CHEMBL3054886,Binding/Inhibitor,CID_190,Endothelin-1 receptor
CHEMBL3055453,CHEMBL3062221,Binding/Inhibitor,CID_191,EGFR Kinase
CHEMBL3058678,CHEMBL3058679,Binding/Inhibitor,CID_192,Histamine H2 receptor
CHEMBL3056761,CHEMBL3079926,Binding/Inhibitor,CID_193,Beta-2 adrenergic receptor
CHEMBL3077702,CHEMBL3077703,Binding/Inhibitor,CID_194,D(1B) dopamine receptor
CHEMBL3079807,CHEMBL3079808,Binding/Inhibitor,CID_195,Endothelin-1 receptor
CHEMBL3082398,CHEMBL3082399,Binding/Inhibitor,CID_196,EGFR Kinase
CHEMBL3069353,CHEMBL3069354,Binding/Inhibitor,CID_197,Histamine H2 receptor
CHEMBL2320148,CHEMBL2320149,Binding/Inhibitor,CID_198,Beta-2 adrenergic receptor
CHEMBL2327875,CHEMBL2327876,Binding/Inhibitor,CID_199,D(1B) dopamine receptor
CHEMBL2339905,CHEMBL2339906,Binding/Inhibitor,CID_200,Endothelin-1 receptor
CHEMBL2341656,CHEMBL2341657,Binding/Inhibitor,CID_201,EGFR Kinase
CHEMBL2350969,CHEMBL2350970,Binding/Inhibitor,CID_202,Histamine H2 receptor
CHEMBL2380137,CHEMBL2380138,Binding/Inhibitor,CID_203,Beta-2 adrenergic receptor
CHEMBL2383615,CHEMBL2383616,Binding/Inhibitor,CID_204,D(1B) dopamine receptor
CHEMBL2395534,CHEMBL2395535,Binding/Inhibitor,CID_205,Endothelin-1 receptor
CHEMBL2399071,CHEMBL2399072,Binding/Inhibitor,CID_206,EGFR Kinase
CHEMBL2406139,CHEMBL2406140,Binding/Inhibitor,CID_207,Histamine H2 receptor
CHEMBL2415875,CHEMBL2415876,Binding/Inhibitor,CID_208,Beta-2 adrenergic receptor
CHEMBL2421965,CHEMBL2421966,Binding/Inhibitor,CID_209,D(1B) dopamine receptor
CHEMBL2427088,CHEMBL2427089,Binding/Inhibitor,CID_210,Endothelin-1 receptor
CHEMBL2438442,CHEMBL2438443,Binding/Inhibitor,CID_211,EGFR Kinase
CHEMBL2443502,CHEMBL2443503,Binding/Inhibitor,CID_212,Histamine H2 receptor
CHEMBL3090704,CHEMBL3090705,Binding/Inhibitor,CID_213,Beta-2 adrenergic receptor
CHEMBL3096361,CHEMBL3096362,Binding/Inhibitor,CID_214,D(1B) dopamine receptor
CHEMBL3101405,CHEMBL3101406,Binding/Inhibitor,CID_215,Endothelin-1 receptor
CHEMBL3111300,CHEMBL3111301,Binding/Inhibitor,CID_216,EGFR Kinase
CHEMBL3118171,CHEMBL3118172,Binding/Inhibitor,CID_217,Histamine H2 receptor
CHEMBL3128626,CHEMBL3128627,Binding/Inhibitor,CID_219,Beta-2 adrenergic receptor
CHEMBL3131437,CHEMBL3131438,Binding/Inhibitor,CID_220,D(1B) dopamine receptor
CHEMBL3214965,CHEMBL3214966,Binding/Inhibitor,CID_221,Endothelin-1 receptor
CHEMBL3226491,CHEMBL3226492,Binding/Inhibitor,CID_222,EGFR Kinase
CHEMBL3238802,CHEMBL3238886,Binding/Inhibitor,CID_223,Histamine H2 receptor
CHEMBL3241426,CHEMBL3241427,Binding/Inhibitor,CID_224,Beta-2 adrenergic receptor
CHEMBL3255078,CHEMBL3255079,Binding/Inhibitor,CID_225,D(1B) dopamine receptor
CHEMBL3252502,CHEMBL3252503,Binding/Inhibitor,CID_226,Endothelin-1 receptor
CHEMBL3267177,CHEMBL3267178,Binding/Inhibitor,CID_227,EGFR Kinase
CHEMBL3269416,CHEMBL3269417,Binding/Inhibitor,CID_228,Histamine H2 receptor
CHEMBL3279574,CHEMBL3279575,Binding/Inhibitor,CID_229,Beta-2 adrenergic receptor
CHEMBL3284800,CHEMBL3284801,Binding/Inhibitor,CID_230,D(1B) dopamine receptor
CHEMBL3292576,CHEMBL3292577,Binding/Inhibitor,CID_231,Endothelin-1 receptor
CHEMBL3299413,CHEMBL3299414,Binding/Inhibitor,CID_232,EGFR Kinase
CHEMBL3384512,CHEMBL3384513,Binding/Inhibitor,CID_233,Histamine H2 receptor
CHEMBL3387223,CHEMBL3387224,Binding/Inhibitor,CID_234,Beta-2 adrenergic receptor
CHEMBL3389829,CHEMBL3389830,Binding/Inhibitor,CID_236,D(1B) dopamine receptor
CHEMBL3373552,CHEMBL3373553,Binding/Inhibitor,CID_237,Endothelin-1 receptor
CHEMBL3375646,CHEMBL3375647,Binding/Inhibitor,CID_238,EGFR Kinase
CHEMBL3365459,CHEMBL3365460,Binding/Inhibitor,CID_239,Histamine H2 receptor
CHEMBL3366420,CHEMBL3366421,Binding/Inhibitor,CID_240,Beta-2 adrenergic receptor
CHEMBL3367757,CHEMBL3367758,Binding/Inhibitor,CID_241,D(1B) dopamine receptor
CHEMBL3399165,CHEMBL3399166,Binding/Inhibitor,CID_242,Endothelin-1 receptor
CHEMBL3411060,CHEMBL3411061,Binding/Inhibitor,CID_243,EGFR Kinase
CHEMBL3421301,CHEMBL3421302,Binding/Inhibitor,CID_244,Histamine H2 receptor
CHEMBL3424386,CHEMBL3424387,Binding/Inhibitor,CID_245,Beta-2 adrenergic receptor
CHEMBL3429561,CHEMBL3429562,Binding/Inhibitor,CID_246,D(1B) dopamine receptor
CHEMBL3540896,CHEMBL3540897,Binding/Inhibitor,CID_247,Endothelin-1 receptor
CHEMBL3542081,CHEMBL3542082,Binding/Inhibitor,CID_248,EGFR Kinase
CHEMBL3532706,CHEMBL3532707,Binding/Inhibitor,CID_249,Histamine H2 receptor
CHEMBL3530160,CHEMBL3530161,Binding/Inhibitor,CID_250,Beta-2 adrenergic receptor
CHEMBL3580096,CHEMBL3580097,Binding/Inhibitor,CID_251,D(1B) dopamine receptor
CHEMBL3584990,CHEMBL3584991,Binding/Inhibitor,CID_253,Endothelin-1 receptor
CHEMBL3591185,CHEMBL3591186,Binding/Inhibitor,CID_254,EGFR Kinase
CHEMBL3599975,CHEMBL3599976,Binding/Inhibitor,CID_255,Histamine H2 receptor
CHEMBL3606656,CHEMBL3606657,Binding/Inhibitor,CID_256,Beta-2 adrenergic receptor
CHEMBL3611622,CHEMBL3611623,Binding/Inhibitor,CID_257,D(1B) dopamine receptor
CHEMBL3619655,CHEMBL3619656,Binding/Inhibitor,CID_258,Endothelin-1 receptor
CHEMBL3627105,CHEMBL3627106,Binding/Inhibitor,CID_259,EGFR Kinase
CHEMBL3635311,CHEMBL3635312,Binding/Inhibitor,CID_260,Histamine H2 receptor
CHEMBL3705429,CHEMBL3705430,Binding/Inhibitor,CID_261,Beta-2 adrenergic receptor
CHEMBL3707767,CHEMBL3707768,Binding/Inhibitor,CID_262,D(1B) dopamine receptor
CHEMBL3738819,CHEMBL3738820,Binding/Inhibitor,CID_263,Endothelin-1 receptor
CHEMBL3743704,CHEMBL3743705,Binding/Inhibitor,CID_264,EGFR Kinase
CHEMBL3748001,CHEMBL3748002,Binding/Inhibitor,CID_265,Histamine H2 receptor
CHEMBL3760368,CHEMBL3760369,Binding/Inhibitor,CID_266,Beta-2 adrenergic receptor
CHEMBL3767396,CHEMBL3767397,Binding/Inhibitor,CID_267,D(1B) dopamine receptor
CHEMBL3772025,CHEMBL3772026,Binding/Inhibitor,CID_268,Endothelin-1 receptor
CHEMBL3778314,CHEMBL3778315,Binding/Inhibitor,CID_269,EGFR Kinase
CHEMBL3782170,CHEMBL3782171,Binding/Inhibitor,CID_270,Histamine H2 receptor
CHEMBL3790524,CHEMBL3790525,Binding/Inhibitor,CID_271,Beta-2 adrenergic receptor
CHEMBL3804000,CHEMBL3804001,Binding/Inhibitor,CID_273,D(1B) dopamine receptor
CHEMBL3801904,CHEMBL3801905,Binding/Inhibitor,CID_274,Endothelin-1 receptor
CHEMBL3812963,CHEMBL3812964,Binding/Inhibitor,CID_275,EGFR Kinase
CHEMBL3815646,CHEMBL3815647,Binding/Inhibitor,CID_276,Histamine H2 receptor
CHEMBL3825843,CHEMBL3825844,Binding/Inhibitor,CID_277,Beta-2 adrenergic receptor
CHEMBL3829760,CHEMBL3829761,Binding/Inhibitor,CID_278,D(1B) dopamine receptor
CHEMBL3856358,CHEMBL3856359,Binding/Inhibitor,CID_279,Endothelin-1 receptor
CHEMBL3859883,CHEMBL3859884,Binding/Inhibitor,CID_280,EGFR Kinase
CHEMBL3863526,CHEMBL3863527,Binding/Inhibitor,CID_281,Histamine H2 receptor
CHEMBL3867206,CHEMBL3867207,Binding/Inhibitor,CID_282,Beta-2 adrenergic receptor
CHEMBL3870860,CHEMBL3870861,Binding/Inhibitor,CID_283,D(1B) dopamine receptor
CHEMBL3874485,CHEMBL3874486,Binding/Inhibitor,CID_284,Endothelin-1 receptor
CHEMBL3878169,CHEMBL3878170,Binding/Inhibitor,CID_285,EGFR Kinase
CHEMBL3881711,CHEMBL3881712,Binding/Inhibitor,CID_286,Histamine H2 receptor
CHEMBL3887561,CHEMBL3887562,Binding/Inhibitor,CID_287,Beta-2 adrenergic receptor
CHEMBL3888484,CHEMBL3888485,Binding/Inhibitor,CID_288,D(1B) dopamine receptor
CHEMBL3889295,CHEMBL3889296,Binding/Inhibitor,CID_289,Endothelin-1 receptor
CHEMBL3994898,CHEMBL3994899,Binding/Inhibitor,CID_290,EGFR Kinase
CHEMBL3998521,CHEMBL3998522,Binding/Inhibitor,CID_291,Histamine H2 receptor
CHEMBL4002092,CHEMBL4002093,Binding/Inhibitor,CID_292,Beta-2 adrenergic receptor
CHEMBL4005876,CHEMBL4005877,Binding/Inhibitor,CID_293,D(1B) dopamine receptor
CHEMBL4009446,CHEMBL4009447,Binding/Inhibitor,CID_294,Endothelin-1 receptor
CHEMBL4012936,CHEMBL4012937,Binding/Inhibitor,CID_296,EGFR Kinase
CHEMBL4016546,CHEMBL4016547,Binding/Inhibitor,CID_297,Histamine H2 receptor
CHEMBL4020088,CHEMBL4020089,Binding/Inhibitor,CID_298,Beta-2 adrenergic receptor
CHEMBL4023801,CHEMBL4023802,Binding/Inhibitor,CID_299,D(1B) dopamine receptor
CHEMBL4027341,CHEMBL4027342,Binding/Inhibitor,CID_300,Endothelin-1 receptor
CHEMBL4031056,CHEMBL4031057,Binding/Inhibitor,CID_301,EGFR Kinase
CHEMBL4034966,CHEMBL4034967,Binding/Inhibitor,CID_302,Histamine H2 receptor
CHEMBL4038581,CHEMBL4038582,Binding/Inhibitor,CID_303,Beta-2 adrenergic receptor
CHEMBL4042041,CHEMBL4042042,Binding/Inhibitor,CID_304,D(1B) dopamine receptor
CHEMBL4045726,CHEMBL4045727,Binding/Inhibitor,CID_305,Endothelin-1 receptor
CHEMBL4049466,CHEMBL4049467,Binding/Inhibitor,CID_306,EGFR Kinase
CHEMBL4053218,CHEMBL4053219,Binding/Inhibitor,CID_307,Histamine H2 receptor
CHEMBL4056712,CHEMBL4056713,Binding/Inhibitor,CID_308,Beta-2 adrenergic receptor
CHEMBL4119238,CHEMBL4119239,Binding/Inhibitor,CID_309,D(1B) dopamine receptor
